Fleet No,Operational Status,LFB,Make,Model,Type of Vehicle,Vehicle Category,Reg Year,Vehicle Life
DPL197,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL198,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL199,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL200,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL201,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL202,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL203,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL204,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL205,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL206,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL207,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL208,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL209,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL210,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL211,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL212,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL213,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL214,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL215,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL216,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL217,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL218,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL219,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL220,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL221,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL222,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL223,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL224,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL225,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL226,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL227,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL228,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL229,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL230,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL231,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL232,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL233,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL234,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL235,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL237,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL238,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL239,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL240,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL241,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL242,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL243,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL244,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL245,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL246,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL247,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL248,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL249,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL250,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL251,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL252,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL253,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL254,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL255,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL256,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL257,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL258,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL259,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL260,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL261,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL262,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL263,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL264,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL265,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL266,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL267,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL268,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL269,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL270,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL271,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL272,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL273,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL274,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL275,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL276,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL277,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL278,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL279,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL280,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL281,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL282,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL283,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL284,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL285,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL286,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL287,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL333,TRAINING,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
FID2,ACTIVE,LFB,Vauxhall,Vivaro,Fire Investigation Dog Van,N1,2010,7
FID3,ACTIVE,LFB,Ford,Transit Custom 310 Trend L2 M ,Fire Investigation Dog Van,N1,2018,7
FireDart,ACTIVE,LFB,Alnmaritec,Landing Craft,FireBoat,Vessel,2001,20
Fireflash,RESERVE,LFB,Alnmaritec,Landing Craft,FireBoat,Vessel,2001,20
FIV7,ACTIVE,LFB,Ford,Transit Custom 310 Trend L2 ,Fire Investigation Unit,N1,2018,7
FIV8,ACTIVE,LFB,Ford,Transit Custom 310 Trend L2 M ,Fire Investigation Unit,N1,2018,7
FIV9,ACTIVE,LFB,Ford,Transit Custom 310 Trend L2 M ,Fire Investigation Unit,N1,2018,7
FIV10,ACTIVE,LFB,Ford,Transit Custom 310 Trend L2 M ,Fire Investigation Unit,N1,2018,7
FIV11,ACTIVE,LFB,Ford,Transit Custom 310 Trend L2 M ,Fire Investigation Unit,N1,2018,7
FLT01,ACTIVE,LFB,Moffett,Mounty,Fork Lift Truck,Plant,2009,7
FLT02,ACTIVE,LFB,Moffett,Mounty,Fork Lift Truck,Plant,2009,12
FLT03,ACTIVE,LFB,Moffett,Mounty,Fork Lift Truck,Plant,2010,12
FLT04,ACTIVE,LFB,Moffett,Mounty,Fork Lift Truck,Plant,2010,12
FRU10,RESERVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2004,12
FRU11,RESERVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2004,12
FRU12,RESERVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2004,12
FRU13,ACTIVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2004,12
FRU14,ACTIVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2005,12
FRU15,ACTIVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2005,12
FRU16,ACTIVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2005,12
FRU17,ACTIVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2005,12
FRU18,ACTIVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2005,12
FRU19,ACTIVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2005,12
FRU20,ACTIVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2007,12
FRU21,ACTIVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2007,12
FRU22,ACTIVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2007,12
FRU23,ACTIVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2007,12
FRU24,ACTIVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2007,12
FRU25,ACTIVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2007,12
FRU26,ACTIVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2007,12
FRU9,TRAINING,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2004,12
GPV13-T,ACTIVE,LFB,Citroen,Relay + Tail-lift Diesel,GP Van,N1,2006,7
GPV22-H,ACTIVE,LFB,Mercedes,Sprinter 416,Hydrogen Dual Fuel GP Van,N2,2018,7
GPV23-H,ACTIVE,LFB,Mercedes,Sprinter 416,Hydrogen Dual Fuel GP Van,N2,2018,7
HDU1,ACTIVE,LFB,Mercedes,Actros Rigid 2541L,Heavy Distribution Unit,N3,2010,12
HLU1,ACTIVE,LFB,Mercedes Benz,Atego,Hose Layer,N3,2010,12
HLU2,ACTIVE,LFB,Mercedes Benz,Atego,Hose Layer,N3,2010,12
HLU3,ACTIVE,LFB,Mercedes Benz,Atego,Hose Layer,N3,2010,12
HLU4,ACTIVE,LFB,Mercedes Benz,Atego,Hose Layer,N3,2010,12
HLU5,RESERVE,LFB,Mercedes Benz,Atego,Hose Layer,N3,2011,12
HP22,RESERVE,LFB,Volvo,FL6 18,Hydraulic Platform,N3,1997,15
HP23,RESERVE,LFB,Volvo,FL6 18,Hydraulic Platform,N3,1997,15
HP24,RESERVE,LFB,Volvo,FL6 18,Hydraulic Platform,N3,1998,15
HP25,RESERVE,LFB,Volvo,FL6 18,Hydraulic Platform,N3,1998,15
LRL1,ACTIVE,LFB,Mercedes,Atego 1218 HSL,London Resilience Lorry,N2,2004,12
LRL2,ACTIVE,LFB,Mercedes,Atego 1218 HSL,London Resilience Lorry,N2,2004,12
LRL3,ACTIVE,LFB,Mercedes,Atego 1218 HSL,London Resilience Lorry,N2,2004,12
LRL7,SUPPORT,LFB,Mercedes,Atego 1218 HSL,London Resilience Lorry,N2,2004,12
LRL8,TRAINING,LFB,Mercedes,Atego 1218 HSL,London Resilience Lorry,N2,2004,12
MPC11,ACTIVE,LFB,Ford,Transit 02 Tourneo,Medium People Carrier (9 Seat),M2,2003,7
MPC12,ACTIVE,LFB,Ford,Transit 02 Tourneo,Medium People Carrier (9 Seat),M2,2003,7
MPC13,ACTIVE,LFB,Renault,Master MM35,Medium People Carrier (9 Seat),M2,2009,7
MPC14,ACTIVE,LFB,Renault,Master MM35,Medium People Carrier (9 Seat),M2,2009,7
MPC16,ACTIVE,LFB,Renault,Master MM35,Medium People Carrier (9 Seat),M2,2009,7
MPC20,ACTIVE,LFB,Renault,Master MM35,Medium People Carrier (9 Seat),M2,2009,7
MPC22,ACTIVE,LFB,Renault,Master MM35,Medium People Carrier (9 Seat),M2,2009,7
MRS01,ACTIVE,LFB,Volkswagon,Transporter T30,Medium Rescue Support,N1,2007,7
MV01T,ACTIVE,LFB,Citroen,Relay 35 L3H3 Blue HDI,Panel Van,N1,2017,7
MV02T,TRAINING,LFB,Citroen,Relay 35 L3H3 Blue HDI,Panel Van,N1,2017,7
MV03T,TRAINING,LFB,Citroen,Relay 35 L3H3 Blue HDI,Panel Van,N1,2017,7
MV04T,ACTIVE,LFB,Fiat,Ducato 35 MH2 2.3 16V Multijet 11 150 BHP,Panel Van,N1,2018,7
MV05T,TRAINING,LFB,Citroen,Relay 35 L3H3 Blue HDI,Panel Van,N1,2018,7
MV06,ACTIVE,LFB,MAN,TGE 3.180 ,Panel Van,N1,2019,7
MV18,ACTIVE,LFB,MAN,TGE 3.140 ,Panel Van,N1,2019,7
MV19,ACTIVE,LFB,MAN,TGE 3.140 ,Panel Van,N1,2019,7
MV20,ACTIVE,LFB,MAN,TGE 3.140 ,Panel Van,N1,2019,7
MV21,ACTIVE,LFB,MAN,TGE 3.140 ,Panel Van,N1,2019,7
MV26,ACTIVE,LFB,Mercedes Benz,114 LWB VITO,Panel Van,N1,2019,7
MV27,ACTIVE,LFB,Mercedes Benz,114 LWB VITO,Panel Van,N1,2019,7
MV28,ACTIVE,LFB,Mercedes Benz,114 LWB VITO,Panel Van,N1,2019,7
OSU1,RESERVE,LFB,Mercedes,Atego 1223,Operational Support Unit,N2,2007,12
OSU2,ACTIVE,LFB,Mercedes,Atego 1223,Operational Support Unit,N2,2007,12
OSU3,ACTIVE,LFB,Mercedes,Atego 1223,Operational Support Unit,N2,2007,12
OSU4,ACTIVE,LFB,Mercedes,Atego 1223,Operational Support Unit,N2,2007,12
OSU5,ACTIVE,LFB,Mercedes,Atego 1223,Operational Support Unit,N2,2007,12
OSU6,ACTIVE,LFB,Mercedes,Atego 1224,Operational Support Unit,N2,2007,12
OSU7,ACTIVE,LFB,Mercedes,Atego 1224,Operational Support Unit,N2,2007,12
SAWD2,ACTIVE,LFB,Nissan,Navara Tekna DCI 2.5,Special Ops 4x4,N1,2015,5
SSU1,ACTIVE,LFB,Mercedes Benz,Atego,Scientific Support Unit,N2,2005,12
SSU2,ACTIVE,LFB,Mercedes Benz,Atego,Scientific Support Unit,N2,2005,12
TL51,ACTIVE,LFB,Daimler,Econic,Turntable Ladder,N3,2007,15
TL52,ACTIVE,LFB,Daimler,Econic,Turntable Ladder,N3,2007,15
TL53,ACTIVE,LFB,Daimler,Econic,Turntable Ladder,N3,2007,15
TL54,ACTIVE,LFB,Mercedes,Econic,Turntable Ladder,N3,2007,15
UV01,ACTIVE,LFB,Ford,Transit Connect,Panel Van,N1,2017,7
UVL01-4,ACTIVE,LFB,MAN,TGE 4.180,Panel Van,N2,2019,7
UVL02-4 ,ACTIVE,LFB,MAN,TGE 4.180,Panel Van,N2,2019,7
UVL03-4,ACTIVE,LFB,MAN,TGE 4.180,Panel Van,N2,2019,7
UVM01,ACTIVE,LFB,Mercedes,Vito (Marked Red) 114 Bluetec Tourer Select,Minibus,M1,2019,7
UVM02,ACTIVE,LFB,Mercedes,Vito (Unmarked Silver) 114 Bluetec Tourer Select,Minibus  (Medium Sized Utility) ,M1,2019,7
UVM03,ACTIVE,LFB,MAN,TGE 3.180 ,Panel Van,N1,2019,7
UVM04,ACTIVE,LFB,MAN,TGE 3.180 Panel Van,LCV,N1,2019,7
UVM05,ACTIVE,LFB,MAN,TGE 3.140 Panel Van,LCV,N1,2019,7
UVM06,ACTIVE,LFB,MAN,TGE 3.140 Panel Van,LCV,N1,2019,7
UVM07,ACTIVE,LFB,MAN,TGE 3.180 ,Panel Van,N1,2019,7
UVM08,ACTIVE,LFB,MAN,TGE 3.181,Panel Van,N1,2019,7
UVM09,ACTIVE,LFB,MAN,TGE 3.180 ,Panel Van,N1,2019,7
V320,ACTIVE,LFB,Ford,Transit Connect 200,Panel Van,N1,2004,7
V332,ACTIVE,LFB,Ford,Transit Connect 200SWB Trend 1.6,Panel Van,N1,2015,5
V333,ACTIVE,LFB,Ford,Transit Connect 200SWB Trend 1.6,Panel Van,N1,2015,5
V336,TRAINING,LFB,Ford,Transit Connect Trend,Panel Van,N1,2017,7
V337,TRAINING,LFB,Ford,Transit Connect Trend,Panel Van,N1,2017,7
V338,ACTIVE,LFB,Ford,Transit Custom,Panel Van,N1,2016,4
V339,ACTIVE,LFB,Ford,Transit Custom,Panel Van,N1,2016,4
V340,ACTIVE,LFB,Ford,Transit Custom,Panel Van,N1,2016,4
V341,ACTIVE,LFB,Ford,Transit Custom,Panel Van,N1,2016,4
